name	lat	lon	height	range	character	description
Farol de Ilhéu Grande	14°46.21' S	039°01.06' W	20	8	Lp (3) B.	Torre quadrangular Interferência de de alvenaria, branca luzes de fundo
Farol de Itaguary	01°25.50' S	048°49.00' W	12	9	Lp B.	Torre quadrangular Tem pequena de concreto armado, inclinação
Farol de Itamoabo	12°47.73' S	038°32.04' W	50	15	Lp (2) B. 3s	Torre cilíndrica de alvenaria, branca
Farol de Itapeva	29°33.41' S	049°53.37' W	42	24	Lp (5) B.	Torre quadrangular de alvenaria, bran-
Farol de Itaqui	02°54.07' S	041°33.35' W	29	15	Lp B.	Torre cilíndrica em fibra de vidro, bran
Farol de Itauna	02°32.07' S	044°30.75' W	25	11	Lp B.	Torre troncônica de alvenaria, branca
Farol de Joanes	00°52.87' S	048°30.46' W	23	14	Lp B.	Armação tronco pi rami dal quadrangu
Farol de Laje da Conceicao	24°14.22' S	046°41.43' W			N/D	Farol
Farol de Lencois Grandes	02°22.78' S	043°16.20' W	72	17	LpL B.	Armação tronco pi rami dal quadrangu
Farol de Lua Cheia	08°02.82' S	034°51.55' W	12	5	LpL V.	Torre cilíndrica de concreto armado,
Farol de Machadinho	01°22.57' S	048°38.60' W	8	7	Lp (3) B.	Tubo metálico so bre base de con
Farol de Maragogi	09°00.80' S	035°13.40' W			F E.	Farol vermelho, Altura 134m
Farol de Marcação Ponta do Coral	27°33.98' S	048°32.21' W			N/D	Farol
Farol de Massaguacu	23°37.74' S	045°22.20' W	75	12	Lp (2) B.	Torre quadrangular de alvenaria, branca
Farol de Morro	13°22.56' S	038°54.92' W	89	23	N/D	Torre troncônica de Visibilidade alvenaria, branca obscurecida
Farol de Morro Taipus	13°57.36' S	038°56.52' W	76	23	Lp (3) B.	Torre quadrangular de concreto armado
Farol de Morro do Pico	03°50.70' S	032°25.28' W			Al.Fl.	Farol white;green, Altura 329m
Farol de Morro dos Conventos	28°56.08' S	049°21.76' W	82	25	Lp (3) B.	Torre troncônica de Racon Y (–.– –) alvenaria, com uma Bandas S e X
Farol de Mucuri	18°03.61' S	039°32.06' W	24	16	Lp. B. 6s	Torre cilíndrica de concreto armado,
Farol de Mundau	03°10.59' S	039°21.72' W	33	14	Lp B.	Torre quadrangular de concreto armado,
Farol de Mãe Luiza	05°47.71' S	035°11.12' W	87	39	N/D	Torre troncônica de Setor de visibi- alvenaria, branca lidade
Farol de No 102	30°20.69' S	051°03.90' W	6	7	Lp V.	Armação metálica sobre estacas, encar-
Farol de No 106	30°19.92' S	051°05.52' W	5	9	Lp V.	Armação metálica, verde
Farol de No 11	31°42.60' S	051°58.11' W	6	7	Lp E.	Armação metálica sobre estacas, encar-
Farol de No 15	26°54.12' S	048°39.21' W	5	5	Lp (3) E.	Torre cilíndrica de fibra de vidro, sobre
Farol de No 17	31°41.95' S	051°56.50' W	7	7	Lp E.	Armação metálica sobre estacas, en-
Farol de No 3	31°47.83' S	052°11.59' W	6	7	Lp E.	Armação metálica
Farol de No 32	31°52.13' S	052°09.61' W	6	7	Lp V.	Armação metálica sobre estacas, encar-
Farol de No 4	23°59.06' S	046°18.60' W	8	10	N/D	Torre cilíndrica de concreto armado, nº 1 Anterior 1867 faixa ho rizontal en-
Farol de No 50	31°46.39' S	052°10.72' W	7	9	Lp V.	Armação metálica sobre estacas, verde
Farol de No 6	31°43.31' S	052°00.10' W	6	9	Lp V.	Armação metálica sobre estacas, verde
Farol de No 7	26°54.73' S	048°38.27' W	15	10	Lp (3) E.	Torre cilíndrica de fibra de vidro, sobre
Farol de No 8	31°42.98' S	051°59.27' W	6	7	Lp V.	Armação metálica sobre estacas, encar-
Farol de No 9	31°43.05' S	051°59.24' W	6	7	Lp E.	Armação metálica sobre estacas, encar-
Farol de No 97	30°20.81' S	051°03.58' W	6	7	Lp E.	Armação metálica sobre estacas, encar-
Farol de No 99	30°20.62' S	051°03.85' W	6	7	Lp E.	Armação metálica sobre estacas, encar-
Farol de Norte	08°02.67' S	034°51.02' W	12	11	Lp V.	Torre quadrangular de concreto armado,
Farol de Novo Farol do Cabeço do São Francisco	10°29.41' S	036°23.19' W			Lp B.	Farol branco, Altura 43m
Farol de Número 10	26°54.86' S	048°38.48' W	6	5	Q (2) V.	Torre cilíndrica de fibra de vidro, sobre
Farol de Número 13	26°54.29' S	048°39.07' W	6	5	Q (2) E.	Torre cilíndrica de fibra de vidro, sobre
Farol de Oureis	12°43.20' S	038°39.30' W	8	8	Lp (2) B.	Torre quadrangular de alvenaria, preta
Farol de Papagaio	02°33.70' S	043°55.74' W	30	9	Lp B.	Poste metálico, branco
Farol de Pau-a-Pino	23°05.92' S	044°07.15' W	25	10	Q (3) B.	Torre cilíndrica de alvenaria, branca CANAL DE ACESSO À ILHA GUAÍBA
Farol de Pedra Seca	06°57.38' S	034°49.36' W	16	16	Lp (3) B.	Torre tronco pirami- Cerca de 1,8M dal octogonal me- a SSW é exibida
Farol de Pedra da Baleia	12°36.83' S	038°57.57' W			N/D	Farol
Farol de Pedra da Galé	27°10.90' S	048°24.47' W	78	8	Lp B.	Torre quadrangular de alvenaria, com
Farol de Pedra da Manteiga	01°28.47' S	048°42.54' W	5	5	Lp V.	Torre tronco pira midal quadrangular
Farol de Pedra de Baleia	20°19.12' S	040°16.33' W	5	9	Lp V.	Torre cilíndrica de alvenaria, branca
Farol de Pedra do Sal	02°48.23' S	041°43.76' W	15	10	Lp B.	Torre octogonal de con creto armado,
Farol de Pedras Brancas No 5	30°05.91' S	051°16.27' W			Lp E.	Farol vermelho, Altura 5m
Farol de Penedos de São Pedro e São Paulo	00°55.01' N	029°20.76' W			Lp B.	Farol branco, Altura 29m
Farol de Pirajuba	02°12.70' S	044°24.20' W			Lp (3) B.	Farol branco, Altura 64m
Farol de Pitimbu	07°27.90' S	034°47.60' W	5	5	Lp B.	Tubo metálico, bran- co
Farol de Point Ubu	20°46.82' S	040°34.68' W	27	14	Lp B.	Torre de alvenaria tronco piramidal,
Farol de Ponta Alambique	12°50.38' S	038°47.63' W	11	14	Lp B.	Armação tronco pi- ramidal quadrangu-
Farol de Ponta Catoeiro	17°52.02' S	039°16.18' W			Lp B.	Farol branco, Altura 20m
Farol de Ponta Corumbau	16°53.75' S	039°06.83' W	15	12	Lp B.	Torre tronco pirami- dal quadrangular de
Farol de Ponta Coruripe	10°09.50' S	036°08.10' W	20	14	Lp (2) B.	Torre cilíndrica de alvenaria sobre base
Farol de Ponta Marapanim	00°34.81' S	047°35.04' W	26	16	N/D	Armação em treliça Setor de visibi metálica com uma lidade
Farol de Ponta Paracuru	03°23.90' S	039°00.70' W	80	27	Lp B.	Armação tronco pi rami dal quadrangu
Farol de Ponta Pecem	03°33.02' S	038°49.27' W			Al.Fl.	Farol white;white;red, Altura 75m
Farol de Ponta Tijoca	00°33.42' S	047°53.85' W	35	18	N/D	Torre quadrangular Setor de visibi em treliça metálica, lidade
Farol de Ponta Verde	09°39.96' S	035°41.53' W	13	13	Lp B.	Torre cilíndrica de Interferência de alvenaria, com fai- luzes de fundo
Farol de Ponta da Baleia	17°41.31' S	039°08.28' W	19	14	Lp B.	Armação tronco pi- ra midal quadrangu-
Farol de Ponta da Sela	23°53.30' S	045°27.70' W	17	9	N/D	Torre cilíndrica de Setor de visibi- con creto armado, lidade
Farol de Ponta da Tabatinga	06°02.70' S	035°06.70' W	96	24	Lp (5) B.	Torre cilíndrica de concreto armado,
Farol de Ponta das Almas	02°53.47' S	041°16.28' W	28	16	Lp B.	Torre cilíndrica de fibra de vidro, bran
Farol de Ponta das Cabeçudas	26°55.57' S	048°37.36' W	6	5	Al.Fl (2+1).	Torre cilíndrica de fibra de vidro, sobre
Farol de Ponta das Canas	23°43.68' S	045°20.49' W	13	9	N/D	Torre cilíndrica de Setor de visibi- concreto armado, lidade
Farol de Ponta de Itapage	02°52.30' S	039°56.60' W	67	20	Lp (2) B.	Armação metálica Instalado na torre cônica branca, com de um aeroge
Farol de Ponta de Pirabura	23°56.56' S	045°13.62' W	15	10	N/D	Torre quadrangular Setor de visibi- de concreto armado, lidade
Farol de Ponta do Catalão	28°12.56' S	048°39.79' W	63	10	Lp E.	Torre tronco pira- midal de alvenaria,
Farol de Ponta do Ceu	00°45.64' N	050°07.05' W	11	9	Lp B.	Armação tronco pi ramidal quadrangu
Farol de Ponta do Chapeu Virado	01°08.13' S	048°28.16' W	11	13	Iso V.	Tubo metálico bran co, sobre base de
Farol de Ponta do Forte	12°47.41' S	038°29.10' W	7	8	Lp. B. 5s	Poste metálico com base em concreto
Farol de Ponta do Mutá	13°52.77' S	038°56.75' W	11	11	Lp V.	Torre quadrangular de concreto arma-
Farol de Ponta do Santarem	00°38.80' N	050°05.66' W			Lp (2) B.	Farol branco, Altura 13m
Farol de Ponta do Tubarao	05°03.98' S	036°29.72' W	9	8	Lp B.	Armação quadran- gular em treliça
Farol de Ponta do Valado	20°29.96' S	029°19.30' W	45	4	Lp B.	Armação em treliça Funcionamento quadrangular me- ocasional
Farol de Pontal	04°56.40' S	037°08.71' W	21	10	Lp B.	Torre cilíndrica de fibra de vidro, com
Farol de Ponto de Santana	00°03.46' S	051°10.85' W			F A.	Farol amarelo
Farol de Ponto do Malhado	14°46.13' S	039°01.56' W	14	5	Lp V.	Armação tronco pi- rami dal quadrangu-
Farol de Porto Seguro	16°26.17' S	039°03.84' W	7	8	N/D	Poste cilíndrico em concreto armado,
Farol de Porto de Suape	08°23.55' S	034°56.83' W	16	8	Iso V.	Poste quadrangular de concreto armado,
Farol de Potengi	05°46.94' S	035°12.59' W	7	5	Lp. V. 3s	Torre quadrangular de alvenaria, ver-
Farol de Quatipuru	00°42.70' S	046°57.60' W			Lp (3) B.	Farol branco, Altura 27m
Farol de Quilombo	31°26.56' S	051°46.59' W	7	7	Lp V.	Armação metálica sobre estacas, verde
Farol de Quissama	22°09.70' S	041°17.84' W	40	17	LpL B.	Torre ciíndrica de concreto armado,
Farol de Recife	08°03.27' S	034°51.92' W	12	11	Al.Fl.	Torre quadrangular de concreto armado,
Farol de Recife de Natal	05°45.08' S	035°11.68' W	13	17	Lp V.	Torre quadrangular de alvenaria, verde
Farol de Rio Arari	01°11.50' S	048°44.60' W	12	10	N/D	Tubo metálico sobre Setor de visibi base de concreto ar lidade
Farol de Rio Arrozal	01°27.55' S	048°42.16' W	10	10	N/D	Tubo metálico com Setor de visibi placa de visibilida lidade
Farol de Rio Calçoene	02°30.40' N	050°48.40' W	24	13	Lp B.	Armação quadran gular em treliça me
Farol de Rio de São Miguel	09°52.01' S	035°54.37' W	15	13	Lp B.	Torre tronco pira- midal, branca, sobre
Farol de Rotativo	22°59.23' S	043°22.10' W			N/D	Farol, Altura 20m
Farol de Salamina	12°47.94' S	038°51.32' W	14	6	Lp. E. 5s	Tubo metálico, com faixas horizon-
Farol de Santa Marta	28°36.25' S	048°48.84' W			N/D	Farol, Altura 29m
Farol de Sao Lourenço (Curva)	31°22.70' S	051°57.95' W	8	7	Lp E.	Armação metálica sobre estacas, en-
Farol de Sao Mateus	18°36.96' S	039°44.01' W	14	15	Lp (2) B.	Torre cilíndrica de fibra de vidro, bran-
Farol de Sapata	03°52.49' S	032°27.69' W			Al.Fl.	Farol white;red, Altura 203m
